"","MPG","Weight","Cylinders","Gears","Displacement","Horsepower","AxleRatio","NVratio","Transmission","DriveSystem","FuelType"
"1",19.5,5000,6,8,3.6,308,3.42,25.4,"A","R","Unleaded"
"2",34.9,3375,4,7,1.6,175,3.17,30.5,"SA","F","Unleaded"
"3",18,5500,8,8,4.4,567,3.15,24.1,"SA","A","Unleaded"
"4",23.4,4750,4,6,2.3,275,3.36,29.5,"A","F","Unleaded"
"5",21.7,4500,6,6,3.3,290,3.04,28,"A","F","Unleaded"
"6",24.8,3750,4,6,2,272,3.27,36.2,"M","R","Unleaded"
"7",28,4500,4,6,2.5,227,4.41,30.5,"A","F","Unleaded"
"8",17.4,5500,8,8,5.7,360,3.09,23.7,"A","R","Unleaded"
"9",23.3,4750,6,8,2.995,354,3.2,25.9,"SA","A","Unleaded"
"10",32.3,3250,4,6,2,164,3.06,33.3,"SA","F","Unleaded"
"11",38.3,4750,6,7,3.5,310,3.58,28.7,"SA","A","Unleaded"
"12",25.1,4500,6,9,2.996,329,2.82,22,"A","R","Unleaded"
"13",30.2,3500,4,6,1.984,220,3.44,30.9,"SA","F","Unleaded"
"14",26.8,4500,4,9,1.991,241,3.27,23.3,"A","R","Unleaded"
"15",18.5,3625,6,7,4,500,3.97,56.2,"SA","R","Unleaded"
"16",13,6000,12,7,5.98,621,3.6,29.7,"A","R","Unleaded"
"17",17.6,6000,6,6,3.7,275,4.1,35.1,"SA","R","Unleaded"
"18",32.2,3250,4,6,2,160,3.06,33.3,"SA","F","Unleaded"
"19",23.6,4250,6,7,3,300,2.94,29.1,"SA","R","Unleaded"
"20",26.2,4500,4,7,2,239,4.67,43.8,"SA","R","Unleaded"
"21",18,6000,6,6,3.5,365,3.31,28.4,"SA","R","Unleaded"
"22",63.9,3750,4,6,1.6,104,4.19,45.8,"SA","F","Unleaded"
"23",27.3,3625,4,6,2.4,180,2.38,30.1,"M","F","Unleaded"
"24",33.4,3375,4,6,2,189,3.5,33.2,"SA","F","Unleaded"
"25",20.2,4500,6,5,4,261,3.13,30.1,"A","R","Unleaded"
"26",18.4,4500,8,8,5,470,2.56,21.5,"SA","4","Unleaded"
"27",18.1,6000,6,6,3.6,303,3.16,28.9,"SA","F","Unleaded"
